order_id;position_no;quantity;login;factory
1057922;2;1;2024-12-19 16:59:15;Düsseldorf
1057922;6;0;2024-12-19 16:59:15;Düsseldorf
1057922;4;2;2024-12-19 16:59:15;Düsseldorf
1057922;5;1;2024-12-19 16:59:15;Düsseldorf
1058277;1;0;2025-01-07 10:54:12;Düsseldorf
1058277;0;2;2025-01-07 10:54:12;Düsseldorf
1058277;0;3;2025-01-07 10:54:12;Düsseldorf
1058277;0;54;2025-01-07 10:54:12;Düsseldorf
1058277;0;2;2025-01-07 10:54:12;Düsseldorf
1058277;0;0;2025-01-07 10:54:12;Düsseldorf
1058493;1;2;2025-01-09 08:46:34;Düsseldorf
1058638;1;1;2025-01-10 10:48:30;Düsseldorf
1058749;1;4;2025-01-13 09:26:12;Düsseldorf
1058882;1;2;2025-01-14 08:49:26;Düsseldorf
1059050;1;8;2025-01-15 11:57:34;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;0;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059828;1;1;2025-01-23 17:44:56;Düsseldorf
1059923;1;10;2025-01-24 14:03:18;Düsseldorf
1059923;2;22;2025-01-24 14:03:18;Düsseldorf
1059923;3;20;2025-01-24 14:03:18;Düsseldorf
1059925;1;1;2025-01-24 14:14:36;Düsseldorf
1060535;1;0;2025-01-31 14:16:43;Düsseldorf
1060535;1;2;2025-01-31 14:16:43;Düsseldorf
1060535;1;3;2025-01-31 14:16:43;Düsseldorf
1061026;1;1;2025-02-06 12:42:33;Düsseldorf
1061026;1;1;2025-02-06 12:42:33;Düsseldorf
1061026;1;5;2025-02-06 12:42:33;Düsseldorf
1061504;1;1;2025-02-12 10:04:20;Düsseldorf
1061504;1;1;2025-02-12 10:04:20;Düsseldorf
