aid;aid_assigned;company;remove_assocs;type
3011;3012;0;0;3
3011;3090;0;0;3
3011;3099;0;0;3
3100;3077;0;0;3
3100;3090;0;0;3
3100;3099;0;0;3
5500;1650;0;0;3
5500;5182;0;0;3
7631;7632;0;0;3
7631;7621;0;0;3
7632;7631;0;0;3
7632;7622;0;0;3
