aid;company;keyword;language;separator
3011;0;"T-Shirts;Shirts;organic;tshirts;mann;männer;bio";DE;,
3100;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";DE;,
3590;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";DE;,
4590;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";DE;,
4920;0;"polos;Herrenhemden;Men;polohemden;mann;männer";DE;,
5500;0;"pullover;sweatshirts;jacken;Kapuzen";DE;,
7631;0;"Jacken;Outdoor;Men;jackets;mann;männer";DE;,
7632;0;"Jacken;Outdoor;Men;jackets;mann;männer";DE;,
