aid;company;keyword_list;language;seperator
1680-fire red-XS;0;;de;,
1680-fire red-4XL;0;;de;,
1680-fire red-5XL;0;;de;,
1680-fire red-L;0;;de;,
1680-fire red-M;0;;de;,
1680-fire red-S;0;;de;,
1680-new light grey-4XL;0;;de;,
1680-new light grey-5XL;0;;de;,
1680-new light grey-L;0;;de;,
1680-new light grey-M;0;;de;,
1680-new light grey-XXL;0;;de;,
1680-charcoal-XL;0;;de;,
1680-new light grey-XL;0;;de;,
1680-new light grey-S;0;;de;,
1680-charcoal-XS;0;;de;,
1680-new light grey-XXXL;0;;de;,
1680-berry-XL;0;;de;,
1680-charcoal-S;0;;de;,
1680-fire red-XXXL;0;;de;,
1680-fire red-XXL;0;;de;,
1680-berry-4XL;0;;de;,
1680-berry-5XL;0;;de;,
1680-berry-L;0;;de;,
1680-berry-S;0;;de;,
1680-berry-XS;0;;de;,
1680-berry-XXL;0;;de;,
1680-berry-XXXL;0;;de;,
1680-charcoal-4XL;0;;de;,
1680-charcoal-5XL;0;;de;,
1680-charcoal-L;0;;de;,
1680-charcoal-XXXL;0;;de;,
1680-charcoal-M;0;;de;,
1680-berry-M;0;;de;,
1699-steel grey-XS;0;;de;,
1699-steel grey-XL;0;;de;,
1699-steel grey-XXL;0;;de;,
1699-steel grey-L;0;;de;,
1699-steel grey-S;0;;de;,
1699-steel grey-M;0;;de;,
1699-steel grey-XXXL;0;;de;,
1700-olive / OL-L;0;;de;,
1700-berry-XXXL;0;;de;,
1700-berry-XXL;0;;de;,
1700-berry-XS;0;;de;,
1700-olive / OL-S;0;;de;,
1700-berry-S;0;;de;,
1700-berry-M;0;;de;,
1700-berry-L;0;;de;,
1700-berry-XL;0;;de;,
1700-olive / OL-M;0;;de;,
1751-fire red-XXL;0;;de;,
1751-fire red-XXXL;0;;de;,
1751-new light grey-L;0;;de;,
1751-new light grey-M;0;;de;,
1751-new light grey-S;0;;de;,
1751-new light grey-XS;0;;de;,
1751-new light grey-XXL;0;;de;,
1751-fire red-XS;0;;de;,
1751-new light grey-XXXL;0;;de;,
1751-new light grey-XL;0;;de;,
1751-charcoal-XL;0;;de;,
1751-charcoal-M;0;;de;,
1751-fire red-XL;0;;de;,
1751-charcoal-S;0;;de;,
1751-charcoal-XS;0;;de;,
1751-charcoal-XXL;0;;de;,
1751-charcoal-XXXL;0;;de;,
1751-fire red-L;0;;de;,
1751-fire red-M;0;;de;,
1751-fire red-S;0;;de;,
1751-charcoal-L;0;;de;,
1781-new light grey-XL;0;;de;,
1781-fire red-XXL;0;;de;,
1781-fire red-M;0;;de;,
1781-fire red-S;0;;de;,
1781-fire red-XL;0;;de;,
1781-fire red-XS;0;;de;,
1781-fire red-XXXL;0;;de;,
1781-new light grey-L;0;;de;,
1781-new light grey-M;0;;de;,
1781-new light grey-S;0;;de;,
1781-new light grey-XXXL;0;;de;,
1781-fire red-L;0;;de;,
1781-new light grey-XS;0;;de;,
1781-berry-S;0;;de;,
1781-new light grey-XXL;0;;de;,
1781-charcoal-XXXL;0;;de;,
1781-berry-L;0;;de;,
1781-berry-XL;0;;de;,
1781-berry-XS;0;;de;,
1781-berry-XXL;0;;de;,
1781-charcoal-L;0;;de;,
1781-charcoal-M;0;;de;,
1781-charcoal-S;0;;de;,
1781-charcoal-XL;0;;de;,
1781-charcoal-XXL;0;;de;,
1781-charcoal-XS;0;;de;,
1781-berry-XXXL;0;;de;,
1781-berry-M;0;;de;,
1790-steel grey-M;0;;de;,
1790-steel grey-XXXL;0;;de;,
1790-steel grey-XXL;0;;de;,
1790-steel grey-XS;0;;de;,
1790-steel grey-S;0;;de;,
1790-steel grey-L;0;;de;,
1790-steel grey-XL;0;;de;,
