aid;company;classification_system;product_group;product_group_superior;feature[0];feature_value[0];feature[1];feature_value[1];feature[2];feature_value[2];feature[3];feature_value[3];feature[4];feature_value[4];feature[5];feature_value[5];feature[6];feature_value[6];feature[7];feature_value[7];feature[8];feature_value[8];feature[9];feature_value[9];feature[10];feature_value[10];feature[11];feature_value[11];feature[12];feature_value[12];feature[13];feature_value[13];feature[14];feature_value[14];feature[15];feature_value[15];feature[16];feature_value[16];feature[17];feature_value[17];feature[18];feature_value[18];feature[19];feature_value[19];feature[20];feature_value[20];feature[21];feature_value[21];feature[22];feature_value[22];feature[23];feature_value[23]
3011;0;Warengruppensystem;T-Shirt;Corporate||Produktlinie||ROOT;Grammatur;180;Oeko_MadeInGreen;;Partnerlook;3012;Sortierung;9000;Fabric_Herstellung;Single Jersey;Material;100% Baumwolle;Workwear;0.0;Produktlinie_Veredelung;1;Produktlinie_Veredelungsart_Discharge;1.0;Produktlinie_Veredelungsart_DTG;0.0;Produktlinie_Veredelungsart_DYOJ;0.0;Produktlinie_Veredelungsart_DYOP;0.0;Produktlinie_Veredelungsart_Flock;1.0;Produktlinie_Veredelungsart_Siebdruck;1.0;Produktlinie_Veredelungsart_Stick;1.0;Produktlinie_Veredelungsart_Sublimationsdruck;0.0;Produktlinie_Veredelungsart_Transferdruck;1.0;Brand_Premium_Item;0.0;Extras;0.0;Kids;0;Outdoor;0.0;Size_Oversize;0.0;Geschlecht;Herren;Brand_Label;0
3100;0;Warengruppensystem;T-Shirt;Corporate||Produktlinie||ROOT;Grammatur;250;Oeko_MadeInGreen;;Partnerlook;;Sortierung;1000;Fabric_Herstellung;Heavy Jersey;Material;100% Baumwolle;Workwear;1.0;Produktlinie_Veredelung;1;Produktlinie_Veredelungsart_Discharge;1.0;Produktlinie_Veredelungsart_DTG;0.0;Produktlinie_Veredelungsart_DYOJ;0.0;Produktlinie_Veredelungsart_DYOP;0.0;Produktlinie_Veredelungsart_Flock;1.0;Produktlinie_Veredelungsart_Siebdruck;1.0;Produktlinie_Veredelungsart_Stick;1.0;Produktlinie_Veredelungsart_Sublimationsdruck;0.0;Produktlinie_Veredelungsart_Transferdruck;1.0;Brand_Premium_Item;0.0;Extras;0.0;Kids;0;Outdoor;0.0;Size_Oversize;1.0;Geschlecht;Unisex;Brand_Label;0
3590;0;Warengruppensystem;T-Shirt;Corporate||Produktlinie||ROOT;Grammatur;180;Oeko_MadeInGreen;;Partnerlook;;Sortierung;1199;Fabric_Herstellung;Single Jersey;Material;60% Baumwolle, 40% Polyester;Workwear;0.0;Produktlinie_Veredelung;0;Produktlinie_Veredelungsart_Discharge;;Produktlinie_Veredelungsart_DTG;0.0;Produktlinie_Veredelungsart_DYOJ;0.0;Produktlinie_Veredelungsart_DYOP;0.0;Produktlinie_Veredelungsart_Flock;;Produktlinie_Veredelungsart_Siebdruck;;Produktlinie_Veredelungsart_Stick;;Produktlinie_Veredelungsart_Sublimationsdruck;0.0;Produktlinie_Veredelungsart_Transferdruck;;Brand_Premium_Item;0.0;Extras;0.0;Kids;0;Outdoor;0.0;Size_Oversize;0.0;Geschlecht;Unisex;Brand_Label;0
4590;0;Warengruppensystem;Polo Shirt;Corporate||Produktlinie||ROOT;Grammatur;220;Oeko_MadeInGreen;;Partnerlook;;Sortierung;1999;Fabric_Herstellung;Pique;Material;60% Baumwolle, 40% Polyester;Workwear;0.0;Produktlinie_Veredelung;0;Produktlinie_Veredelungsart_Discharge;;Produktlinie_Veredelungsart_DTG;0.0;Produktlinie_Veredelungsart_DYOJ;0.0;Produktlinie_Veredelungsart_DYOP;0.0;Produktlinie_Veredelungsart_Flock;;Produktlinie_Veredelungsart_Siebdruck;;Produktlinie_Veredelungsart_Stick;;Produktlinie_Veredelungsart_Sublimationsdruck;0.0;Produktlinie_Veredelungsart_Transferdruck;;Brand_Premium_Item;0.0;Extras;0.0;Kids;0;Outdoor;0.0;Size_Oversize;0.0;Geschlecht;Unisex;Brand_Label;0
4920;0;Warengruppensystem;Polo Shirt;Corporate||Produktlinie||ROOT;Grammatur;;Oeko_MadeInGreen;;Partnerlook;;Sortierung;4920;Fabric_Herstellung;;Material;;Workwear;;Produktlinie_Veredelung;0;Produktlinie_Veredelungsart_Discharge;;Produktlinie_Veredelungsart_DTG;;Produktlinie_Veredelungsart_DYOJ;;Produktlinie_Veredelungsart_DYOP;;Produktlinie_Veredelungsart_Flock;;Produktlinie_Veredelungsart_Siebdruck;;Produktlinie_Veredelungsart_Stick;;Produktlinie_Veredelungsart_Sublimationsdruck;;Produktlinie_Veredelungsart_Transferdruck;;Brand_Premium_Item;;Extras;;Kids;0;Outdoor;;Size_Oversize;;Geschlecht;Unisex;Brand_Label;0
5500;0;Warengruppensystem;Hoody;Corporate||Produktlinie||ROOT;Grammatur;500;Oeko_MadeInGreen;;Partnerlook;;Sortierung;4015;Fabric_Herstellung;Molton 3-fädig;Material;Außenmaterial 85 % Baumwolle, 15 % Polyester, Innenmaterial 95 % Polyester, 5 % Elasthan;Workwear;1.0;Produktlinie_Veredelung;0;Produktlinie_Veredelungsart_Discharge;;Produktlinie_Veredelungsart_DTG;0.0;Produktlinie_Veredelungsart_DYOJ;0.0;Produktlinie_Veredelungsart_DYOP;0.0;Produktlinie_Veredelungsart_Flock;;Produktlinie_Veredelungsart_Siebdruck;;Produktlinie_Veredelungsart_Stick;;Produktlinie_Veredelungsart_Sublimationsdruck;0.0;Produktlinie_Veredelungsart_Transferdruck;;Brand_Premium_Item;0.0;Extras;0.0;Kids;0;Outdoor;0.0;Size_Oversize;1.0;Geschlecht;Unisex;Brand_Label;0
7631;0;Warengruppensystem;Jacket;Corporate||Produktlinie||ROOT;Grammatur;0;Oeko_MadeInGreen;;Partnerlook;7632;Sortierung;4992;Fabric_Herstellung;Gewebe;Material;Außenmaterial und Futter 100% Nylon, Füllung 100 % Polyester;Workwear;0.0;Produktlinie_Veredelung;0;Produktlinie_Veredelungsart_Discharge;;Produktlinie_Veredelungsart_DTG;0.0;Produktlinie_Veredelungsart_DYOJ;0.0;Produktlinie_Veredelungsart_DYOP;0.0;Produktlinie_Veredelungsart_Flock;;Produktlinie_Veredelungsart_Siebdruck;;Produktlinie_Veredelungsart_Stick;;Produktlinie_Veredelungsart_Sublimationsdruck;0.0;Produktlinie_Veredelungsart_Transferdruck;;Brand_Premium_Item;0.0;Extras;0.0;Kids;0;Outdoor;1.0;Size_Oversize;1.0;Geschlecht;Herren;Brand_Label;0
7632;0;Warengruppensystem;Jacket;Corporate||Produktlinie||ROOT;Grammatur;0;Oeko_MadeInGreen;;Partnerlook;7631;Sortierung;4993;Fabric_Herstellung;Gewebe;Material;Außenmaterial und Futter 100% Nylon, Füllung 100 % Polyester;Workwear;0.0;Produktlinie_Veredelung;0;Produktlinie_Veredelungsart_Discharge;;Produktlinie_Veredelungsart_DTG;0.0;Produktlinie_Veredelungsart_DYOJ;0.0;Produktlinie_Veredelungsart_DYOP;0.0;Produktlinie_Veredelungsart_Flock;;Produktlinie_Veredelungsart_Siebdruck;;Produktlinie_Veredelungsart_Stick;;Produktlinie_Veredelungsart_Sublimationsdruck;0.0;Produktlinie_Veredelungsart_Transferdruck;;Brand_Premium_Item;0.0;Extras;0.0;Kids;0;Outdoor;1.0;Size_Oversize;1.0;Geschlecht;Damen;Brand_Label;0
